1718298410.6779242, -0.483, 0.063, 0.837, -11.421, -0.626, 16.716
1718298410.6809194, -0.487, 0.066, 0.839, -11.421, -0.626, 16.716
1718298410.6838868, -0.476, 0.061, 0.833, -11.299, -0.648, 16.533
1718298410.6868467, -0.476, 0.061, 0.833, -11.299, -0.648, 16.533
1718298410.6898105, -0.482, 0.059, 0.79, -11.345, -0.519, 16.411
1718298410.692767, -0.482, 0.059, 0.79, -11.322, -0.87, 16.38
1718298410.6957214, -0.48, 0.056, 0.812, -11.322, -0.87, 16.38
1718298410.6986723, -0.465, 0.055, 0.798, -10.696, -0.839, 16.144
1718298410.7016501, -0.465, 0.055, 0.798, -10.696, -0.839, 16.144
1718298410.7046041, -0.456, 0.059, 0.804, -10.323, -0.793, 15.472
1718298410.707556, -0.456, 0.059, 0.804, -10.811, -0.824, 14.618
1718298410.7105083, -0.456, 0.055, 0.819, -10.811, -0.824, 14.618
1718298410.7134578, -0.462, 0.048, 0.817, -11.864, -1.167, 13.481
1718298410.7164087, -0.462, 0.048, 0.817, -11.864, -1.167, 13.481
1718298410.7193573, -0.474, 0.049, 0.818, -12.756, -1.495, 12.215
1718298410.7223089, -0.474, 0.049, 0.818, -13.084, -1.678, 11.032
1718298410.7252574, -0.488, 0.035, 0.828, -13.084, -1.678, 11.032
1718298410.728214, -0.488, 0.034, 0.828, -12.726, -1.869, 10.056
1718298410.7311664, -0.488, 0.034, 0.828, -12.726, -1.869, 10.056
1718298410.734116, -0.475, 0.031, 0.826, -12.222, -1.984, 9.544
1718298410.7370646, -0.475, 0.031, 0.826, -12.222, -1.984, 9.544
1718298410.740014, -0.46, 0.026, 0.833, -12.093, -2.304, 9.315
1718298410.7429616, -0.46, 0.026, 0.833, -11.932, -2.342, 9.407
1718298410.7459114, -0.464, 0.027, 0.826, -11.932, -2.342, 9.407
1718298410.7488596, -0.494, 0.03, 0.843, -11.566, -1.984, 9.811
1718298410.7518108, -0.494, 0.03, 0.843, -11.566, -1.984, 9.811
1718298410.7547584, -0.507, 0.033, 0.879, -10.3, -1.617, 10.117
1718298410.7577085, -0.507, 0.033, 0.879, -9.132, -1.114, 10.033
