dx = 0.0, dy = 0.0,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = 0.0, dy = 0.0,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.9199999999999591,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.9199999999999591,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.9199999999999591,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.9199999999999591,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.9199999999999591,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.9199999999999591,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.9199999999999591,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.9199999999999591,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = -1.8400000000000318, dy = 0.0,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.520000000000039, dy = 0.0,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
