dx = 0.0, dy = 0.0,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = -8.965490196078008, dy = -7.48627450980382,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 27, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 28, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 29, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 30, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 31, l_cnt = 0, r_cnt = 0, direction = straight
dx = 15.874509803921967, dy = 23.79372549019621,  s_cnt = 32, l_cnt = 0, r_cnt = 0, direction = straight
dx = 14.954509803921951, dy = 28.393725490196175,  s_cnt = 33, l_cnt = 0, r_cnt = 0, direction = straight
dx = 14.954509803921951, dy = 28.393725490196175,  s_cnt = 34, l_cnt = 0, r_cnt = 0, direction = straight
dx = 14.954509803921951, dy = 28.393725490196175,  s_cnt = 35, l_cnt = 0, r_cnt = 0, direction = straight
dx = 14.954509803921951, dy = 28.393725490196175,  s_cnt = 36, l_cnt = 0, r_cnt = 0, direction = straight
dx = 14.954509803921951, dy = 28.393725490196175,  s_cnt = 37, l_cnt = 0, r_cnt = 0, direction = straight
dx = 14.954509803921951, dy = 28.393725490196175,  s_cnt = 38, l_cnt = 0, r_cnt = 0, direction = straight
dx = 14.954509803921951, dy = 28.393725490196175,  s_cnt = 39, l_cnt = 0, r_cnt = 0, direction = straight
dx = 14.954509803921951, dy = 28.393725490196175,  s_cnt = 40, l_cnt = 0, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 1, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 2, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 3, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 4, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 5, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 6, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 7, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 8, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 9, r_cnt = 0, direction = straight
dx = 12.19450980392196, dy = 31.153725490196166,  s_cnt = 40, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 41, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 42, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 43, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 44, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 45, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 46, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 47, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 48, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 49, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 50, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 51, l_cnt = 10, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
dx = 8.460392156863008, dy = 19.157647058823727,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 27, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 28, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 29, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 30, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.579607843137012, dy = 10.877647058823754,  s_cnt = 31, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.499607843136971, dy = 10.877647058823754,  s_cnt = 32, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.499607843136971, dy = 10.877647058823754,  s_cnt = 33, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.499607843136971, dy = 10.877647058823754,  s_cnt = 34, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.499607843136971, dy = 10.877647058823754,  s_cnt = 35, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.499607843136971, dy = 10.877647058823754,  s_cnt = 36, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.499607843136971, dy = 10.877647058823754,  s_cnt = 37, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.499607843136971, dy = 10.877647058823754,  s_cnt = 38, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.499607843136971, dy = 10.877647058823754,  s_cnt = 39, l_cnt = 0, r_cnt = 0, direction = straight
dx = -0.7396078431369801, dy = 11.79764705882377,  s_cnt = 40, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.01490196078413, dy = -4.311372549019779,  s_cnt = 41, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.01490196078413, dy = -4.311372549019779,  s_cnt = 42, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.01490196078413, dy = -4.311372549019779,  s_cnt = 43, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.01490196078413, dy = -4.311372549019779,  s_cnt = 44, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.01490196078413, dy = -4.311372549019779,  s_cnt = 45, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.01490196078413, dy = -4.311372549019779,  s_cnt = 46, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.01490196078413, dy = -4.311372549019779,  s_cnt = 47, l_cnt = 0, r_cnt = 0, direction = straight
dx = -5.01490196078413, dy = -4.311372549019779,  s_cnt = 48, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 49, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 50, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 51, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = -3.1749019607841547, dy = -0.6313725490198294,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = 7.865098039215866, dy = 23.288627450980186,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = 7.865098039215866, dy = 23.288627450980186,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = 7.865098039215866, dy = 23.288627450980186,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
dx = 7.865098039215866, dy = 23.288627450980186,  s_cnt = 27, l_cnt = 0, r_cnt = 0, direction = straight
dx = 7.865098039215866, dy = 23.288627450980186,  s_cnt = 28, l_cnt = 0, r_cnt = 0, direction = straight
dx = 7.865098039215866, dy = 23.288627450980186,  s_cnt = 29, l_cnt = 0, r_cnt = 0, direction = straight
dx = 7.865098039215866, dy = 23.288627450980186,  s_cnt = 30, l_cnt = 0, r_cnt = 0, direction = straight
dx = 7.865098039215866, dy = 23.288627450980186,  s_cnt = 31, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 32, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 33, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 34, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 35, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 36, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 37, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 38, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 39, l_cnt = 0, r_cnt = 0, direction = straight
dx = 5.105098039215875, dy = 23.288627450980186,  s_cnt = 40, l_cnt = 0, r_cnt = 0, direction = straight
dx = 4.275294117646979, dy = 16.884705882352705,  s_cnt = 41, l_cnt = 0, r_cnt = 0, direction = straight
dx = 4.275294117646979, dy = 16.884705882352705,  s_cnt = 42, l_cnt = 0, r_cnt = 0, direction = straight
dx = 4.275294117646979, dy = 16.884705882352705,  s_cnt = 43, l_cnt = 0, r_cnt = 0, direction = straight
dx = 4.275294117646979, dy = 16.884705882352705,  s_cnt = 44, l_cnt = 0, r_cnt = 0, direction = straight
dx = 4.275294117646979, dy = 16.884705882352705,  s_cnt = 45, l_cnt = 0, r_cnt = 0, direction = straight
dx = 4.275294117646979, dy = 16.884705882352705,  s_cnt = 46, l_cnt = 0, r_cnt = 0, direction = straight
dx = 4.275294117646979, dy = 16.884705882352705,  s_cnt = 47, l_cnt = 0, r_cnt = 0, direction = straight
dx = 4.275294117646979, dy = 16.884705882352705,  s_cnt = 48, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 49, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 50, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 51, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 27, l_cnt = 0, r_cnt = 0, direction = straight
dx = 6.115294117647011, dy = 19.644705882352696,  s_cnt = 28, l_cnt = 0, r_cnt = 0, direction = straight
