ax = -0.523, ay = 0.099, az = 0.82, brake = False
ax = -0.523, ay = 0.099, az = 0.82, brake = False
ax = -0.522, ay = 0.101, az = 0.819, brake = False
ax = -0.523, ay = 0.101, az = 0.816, brake = False
ax = -0.523, ay = 0.101, az = 0.816, brake = False
ax = -0.524, ay = 0.095, az = 0.811, brake = False
ax = -0.524, ay = 0.095, az = 0.811, brake = False
ax = -0.529, ay = 0.089, az = 0.807, brake = False
ax = -0.533, ay = 0.084, az = 0.804, brake = False
ax = -0.533, ay = 0.084, az = 0.804, brake = False
ax = -0.534, ay = 0.085, az = 0.804, brake = False
ax = -0.534, ay = 0.085, az = 0.804, brake = False
ax = -0.534, ay = 0.081, az = 0.808, brake = False
ax = -0.532, ay = 0.083, az = 0.808, brake = False
ax = -0.532, ay = 0.083, az = 0.808, brake = False
ax = -0.531, ay = 0.084, az = 0.815, brake = False
ax = -0.531, ay = 0.084, az = 0.815, brake = False
ax = -0.529, ay = 0.081, az = 0.815, brake = False
ax = -0.526, ay = 0.076, az = 0.813, brake = False
ax = -0.526, ay = 0.076, az = 0.813, brake = False
ax = -0.525, ay = 0.073, az = 0.818, brake = False
ax = -0.525, ay = 0.073, az = 0.818, brake = False
ax = -0.527, ay = 0.068, az = 0.821, brake = False
ax = -0.524, ay = 0.065, az = 0.82, brake = False
ax = -0.524, ay = 0.065, az = 0.82, brake = False
ax = -0.521, ay = 0.062, az = 0.819, brake = False
ax = -0.521, ay = 0.062, az = 0.819, brake = False
ax = -0.521, ay = 0.059, az = 0.818, brake = False
ax = -0.521, ay = 0.059, az = 0.818, brake = False
ax = -0.521, ay = 0.054, az = 0.814, brake = False
ax = -0.525, ay = 0.052, az = 0.815, brake = False
ax = -0.525, ay = 0.052, az = 0.815, brake = False
ax = -0.523, ay = 0.048, az = 0.813, brake = False
ax = -0.523, ay = 0.048, az = 0.813, brake = False
ax = -0.525, ay = 0.041, az = 0.814, brake = False
ax = -0.523, ay = 0.032, az = 0.814, brake = False
ax = -0.523, ay = 0.032, az = 0.814, brake = False
ax = -0.521, ay = 0.024, az = 0.813, brake = False
ax = -0.521, ay = 0.024, az = 0.813, brake = False
ax = -0.519, ay = 0.019, az = 0.811, brake = False
ax = -0.52, ay = 0.018, az = 0.816, brake = False
ax = -0.52, ay = 0.018, az = 0.816, brake = False
ax = -0.522, ay = 0.018, az = 0.818, brake = False
ax = -0.522, ay = 0.018, az = 0.818, brake = False
ax = -0.524, ay = 0.02, az = 0.821, brake = False
ax = -0.524, ay = 0.02, az = 0.821, brake = False
ax = -0.523, ay = 0.021, az = 0.819, brake = False
ax = -0.518, ay = 0.018, az = 0.818, brake = False
ax = -0.518, ay = 0.018, az = 0.818, brake = False
ax = -0.519, ay = 0.015, az = 0.82, brake = False
ax = -0.519, ay = 0.015, az = 0.82, brake = False
