ax = -0.563, ay = 0.18, az = 0.735, diff = -0.563 brake = True
ax = -0.565, ay = 0.174, az = 0.743, diff = -0.565 brake = True
ax = -0.565, ay = 0.174, az = 0.743, diff = -0.565 brake = True
ax = -0.57, ay = 0.167, az = 0.759, diff = -0.57 brake = True
ax = -0.579, ay = 0.17, az = 0.795, diff = -0.579 brake = True
ax = -0.579, ay = 0.17, az = 0.795, diff = -0.579 brake = True
ax = -0.592, ay = 0.174, az = 0.811, diff = -0.592 brake = True
ax = -0.592, ay = 0.174, az = 0.811, diff = -0.592 brake = True
ax = -0.599, ay = 0.176, az = 0.823, diff = -0.599 brake = True
ax = -0.638, ay = 0.177, az = 0.825, diff = -0.638 brake = True
ax = -0.638, ay = 0.177, az = 0.825, diff = -0.638 brake = True
ax = -0.611, ay = 0.171, az = 0.828, diff = -0.611 brake = True
ax = -0.611, ay = 0.171, az = 0.828, diff = -0.611 brake = True
ax = -0.554, ay = 0.166, az = 0.824, diff = -0.554 brake = True
ax = -0.522, ay = 0.157, az = 0.777, diff = -0.522 brake = True
ax = -0.522, ay = 0.157, az = 0.777, diff = -0.522 brake = True
ax = -0.528, ay = 0.156, az = 0.76, diff = -0.528 brake = True
ax = -0.528, ay = 0.156, az = 0.76, diff = -0.528 brake = True
ax = -0.573, ay = 0.144, az = 0.751, diff = -0.573 brake = True
ax = -0.61, ay = 0.119, az = 0.76, diff = -0.61 brake = True
ax = -0.61, ay = 0.119, az = 0.76, diff = -0.031476190476190546 brake = False
ax = -0.637, ay = 0.102, az = 0.791, diff = -0.05847619047619057 brake = False
ax = -0.637, ay = 0.102, az = 0.791, diff = -0.05847619047619057 brake = False
ax = -0.637, ay = 0.087, az = 0.805, diff = -0.05847619047619057 brake = False
ax = -0.617, ay = 0.078, az = 0.809, diff = -0.03847619047619055 brake = False
ax = -0.617, ay = 0.078, az = 0.809, diff = -0.03847619047619055 brake = False
ax = -0.602, ay = 0.069, az = 0.8, diff = -0.02347619047619054 brake = False
ax = -0.602, ay = 0.069, az = 0.8, diff = -0.02347619047619054 brake = False
ax = -0.604, ay = 0.05, az = 0.796, diff = -0.02547619047619054 brake = False
ax = -0.609, ay = 0.038, az = 0.785, diff = -0.030476190476190546 brake = False
ax = -0.609, ay = 0.038, az = 0.785, diff = -0.030476190476190546 brake = False
ax = -0.617, ay = 0.036, az = 0.776, diff = -0.03847619047619055 brake = False
ax = -0.617, ay = 0.036, az = 0.776, diff = -0.03847619047619055 brake = False
ax = -0.626, ay = 0.035, az = 0.765, diff = -0.04747619047619056 brake = False
ax = -0.624, ay = 0.03, az = 0.769, diff = -0.04547619047619056 brake = False
ax = -0.624, ay = 0.03, az = 0.769, diff = -0.04547619047619056 brake = False
ax = -0.618, ay = 0.02, az = 0.774, diff = -0.039476190476190554 brake = False
ax = -0.618, ay = 0.02, az = 0.774, diff = -0.039476190476190554 brake = False
ax = -0.602, ay = 0.01, az = 0.785, diff = -0.02347619047619054 brake = False
ax = -0.59, ay = 0.002, az = 0.788, diff = -0.011476190476190529 brake = False
ax = -0.59, ay = 0.002, az = 0.788, diff = -0.011476190476190529 brake = False
ax = -0.586, ay = -0.003, az = 0.789, diff = 0.027476190476190654 brake = False
ax = -0.588, ay = -0.007, az = 0.795, diff = 0.025476190476190652 brake = False
ax = -0.588, ay = -0.007, az = 0.795, diff = 0.025476190476190652 brake = False
ax = -0.579, ay = -0.007, az = 0.782, diff = 0.03447619047619066 brake = False
ax = -0.579, ay = -0.007, az = 0.782, diff = 0.03447619047619066 brake = False
ax = -0.579, ay = -0.003, az = 0.774, diff = 0.03447619047619066 brake = False
ax = -0.571, ay = 0.0, az = 0.782, diff = 0.04247619047619067 brake = False
ax = -0.571, ay = 0.0, az = 0.782, diff = 0.04247619047619067 brake = False
ax = -0.561, ay = 0.0, az = 0.782, diff = 0.052476190476190565 brake = False
ax = -0.561, ay = 0.0, az = 0.782, diff = 0.052476190476190565 brake = False
ax = -0.554, ay = -0.0, az = 0.785, diff = 0.05947619047619057 brake = False
ax = -0.547, ay = -0.005, az = 0.807, diff = 0.06647619047619058 brake = False
ax = -0.547, ay = -0.005, az = 0.807, diff = 0.06647619047619058 brake = False
ax = -0.543, ay = -0.008, az = 0.814, diff = 0.07047619047619058 brake = False
ax = -0.543, ay = -0.008, az = 0.814, diff = 0.07047619047619058 brake = False
ax = -0.544, ay = -0.016, az = 0.817, diff = 0.06947619047619058 brake = False
ax = -0.528, ay = -0.031, az = 0.913, diff = 0.0854761904761906 brake = False
ax = -0.528, ay = -0.031, az = 0.913, diff = 0.0854761904761906 brake = False
ax = -0.514, ay = -0.05, az = 0.876, diff = 0.0994761904761906 brake = False
ax = -0.514, ay = -0.05, az = 0.876, diff = 0.0994761904761906 brake = False
ax = -0.527, ay = -0.052, az = 0.86, diff = 0.0864761904761906 brake = False
ax = -0.55, ay = -0.068, az = 0.85, diff = 0.003142857142857003 brake = False
ax = -0.55, ay = -0.068, az = 0.85, diff = 0.003142857142857003 brake = False
ax = -0.539, ay = -0.098, az = 0.803, diff = 0.014142857142857013 brake = False
ax = -0.539, ay = -0.098, az = 0.803, diff = 0.014142857142857013 brake = False
ax = -0.529, ay = -0.127, az = 0.791, diff = 0.02414285714285702 brake = False
ax = -0.522, ay = -0.143, az = 0.803, diff = 0.031142857142857028 brake = False
ax = -0.522, ay = -0.143, az = 0.803, diff = 0.031142857142857028 brake = False
ax = -0.52, ay = -0.155, az = 0.8, diff = 0.03314285714285703 brake = False
ax = -0.52, ay = -0.155, az = 0.8, diff = 0.03314285714285703 brake = False
ax = -0.524, ay = -0.16, az = 0.806, diff = 0.029142857142857026 brake = False
ax = -0.535, ay = -0.164, az = 0.835, diff = 0.018142857142857016 brake = False
ax = -0.535, ay = -0.164, az = 0.835, diff = 0.018142857142857016 brake = False
ax = -0.543, ay = -0.157, az = 0.841, diff = 0.010142857142857009 brake = False
ax = -0.543, ay = -0.157, az = 0.841, diff = 0.010142857142857009 brake = False
ax = -0.539, ay = -0.134, az = 0.84, diff = 0.014142857142857013 brake = False
ax = -0.552, ay = -0.101, az = 0.85, diff = 0.0011428571428570011 brake = False
ax = -0.552, ay = -0.101, az = 0.85, diff = 0.0011428571428570011 brake = False
ax = -0.553, ay = -0.074, az = 0.873, diff = 0.00014285714285700024 brake = False
ax = -0.553, ay = -0.074, az = 0.873, diff = 0.00014285714285700024 brake = False
ax = -0.558, ay = -0.059, az = 0.818, diff = -0.004857142857143004 brake = False
ax = -0.57, ay = -0.054, az = 0.8, diff = -0.016857142857142904 brake = False
ax = -0.57, ay = -0.054, az = 0.8, diff = -0.028666666666666507 brake = False
ax = -0.604, ay = -0.025, az = 0.767, diff = -0.06266666666666654 brake = False
ax = -0.604, ay = -0.025, az = 0.767, diff = -0.06266666666666654 brake = False
ax = -0.623, ay = -0.004, az = 0.735, diff = -0.08166666666666655 brake = False
ax = -0.62, ay = 0.002, az = 0.729, diff = -0.07866666666666655 brake = False
ax = -0.62, ay = 0.002, az = 0.729, diff = -0.07866666666666655 brake = False
ax = -0.609, ay = 0.01, az = 0.74, diff = -0.06766666666666654 brake = False
ax = -0.609, ay = 0.01, az = 0.74, diff = -0.06766666666666654 brake = False
ax = -0.599, ay = 0.02, az = 0.753, diff = -0.05766666666666653 brake = False
ax = -0.602, ay = 0.043, az = 0.781, diff = -0.060666666666666536 brake = False
ax = -0.602, ay = 0.043, az = 0.781, diff = -0.060666666666666536 brake = False
ax = -0.599, ay = 0.062, az = 0.799, diff = -0.05766666666666653 brake = False
ax = -0.593, ay = 0.084, az = 0.8, diff = -0.05166666666666653 brake = False
ax = -0.593, ay = 0.084, az = 0.8, diff = -0.05166666666666653 brake = False
ax = -0.586, ay = 0.107, az = 0.799, diff = -0.04466666666666652 brake = False
ax = -0.586, ay = 0.107, az = 0.799, diff = -0.04466666666666652 brake = False
ax = -0.583, ay = 0.131, az = 0.791, diff = -0.04166666666666652 brake = False
ax = -0.586, ay = 0.158, az = 0.782, diff = -0.04466666666666652 brake = False
ax = -0.586, ay = 0.158, az = 0.782, diff = -0.04466666666666652 brake = False
ax = -0.592, ay = 0.17, az = 0.785, diff = -0.05066666666666653 brake = False
ax = -0.592, ay = 0.17, az = 0.785, diff = -0.05066666666666653 brake = False
ax = -0.586, ay = 0.167, az = 0.788, diff = 0.012761904761904974 brake = False
ax = -0.568, ay = 0.163, az = 0.785, diff = 0.03076190476190499 brake = False
ax = -0.568, ay = 0.163, az = 0.785, diff = 0.03076190476190499 brake = False
ax = -0.574, ay = 0.167, az = 0.765, diff = 0.024761904761904985 brake = False
ax = -0.574, ay = 0.167, az = 0.765, diff = 0.024761904761904985 brake = False
ax = -0.579, ay = 0.153, az = 0.761, diff = 0.01976190476190498 brake = False
ax = -0.556, ay = 0.128, az = 0.775, diff = 0.04276190476190489 brake = False
ax = -0.556, ay = 0.128, az = 0.775, diff = 0.04276190476190489 brake = False
ax = -0.551, ay = 0.113, az = 0.77, diff = 0.047761904761904894 brake = False
ax = -0.551, ay = 0.113, az = 0.77, diff = 0.047761904761904894 brake = False
ax = -0.551, ay = 0.099, az = 0.789, diff = 0.047761904761904894 brake = False
ax = -0.551, ay = 0.093, az = 0.812, diff = 0.047761904761904894 brake = False
ax = -0.551, ay = 0.093, az = 0.812, diff = 0.047761904761904894 brake = False
ax = -0.544, ay = 0.091, az = 0.833, diff = 0.0547619047619049 brake = False
ax = -0.544, ay = 0.091, az = 0.833, diff = 0.0547619047619049 brake = False
ax = -0.533, ay = 0.097, az = 0.846, diff = 0.06576190476190491 brake = False
ax = -0.53, ay = 0.105, az = 0.849, diff = 0.06876190476190491 brake = False
ax = -0.53, ay = 0.105, az = 0.849, diff = 0.06876190476190491 brake = False
ax = -0.536, ay = 0.11, az = 0.845, diff = 0.06276190476190491 brake = False
ax = -0.536, ay = 0.11, az = 0.845, diff = 0.06276190476190491 brake = False
ax = -0.546, ay = 0.121, az = 0.84, diff = 0.0527619047619049 brake = False
ax = -0.542, ay = 0.135, az = 0.828, diff = 0.008999999999999897 brake = False
ax = -0.542, ay = 0.135, az = 0.828, diff = 0.008999999999999897 brake = False
ax = -0.534, ay = 0.161, az = 0.822, diff = 0.016999999999999904 brake = False
ax = -0.521, ay = 0.173, az = 0.803, diff = 0.029999999999999916 brake = False
ax = -0.521, ay = 0.173, az = 0.803, diff = 0.029999999999999916 brake = False
ax = -0.52, ay = 0.169, az = 0.789, diff = 0.030999999999999917 brake = False
ax = -0.52, ay = 0.169, az = 0.789, diff = 0.030999999999999917 brake = False
ax = -0.526, ay = 0.175, az = 0.804, diff = 0.02499999999999991 brake = False
ax = -0.525, ay = 0.175, az = 0.813, diff = 0.025999999999999912 brake = False
ax = -0.525, ay = 0.175, az = 0.813, diff = 0.025999999999999912 brake = False
ax = -0.531, ay = 0.181, az = 0.817, diff = 0.019999999999999907 brake = False
ax = -0.531, ay = 0.181, az = 0.817, diff = 0.019999999999999907 brake = False
ax = -0.52, ay = 0.185, az = 0.824, diff = 0.030999999999999917 brake = False
ax = -0.512, ay = 0.186, az = 0.832, diff = 0.038999999999999924 brake = False
ax = -0.512, ay = 0.186, az = 0.832, diff = 0.038999999999999924 brake = False
ax = -0.517, ay = 0.189, az = 0.828, diff = 0.03399999999999992 brake = False
ax = -0.517, ay = 0.189, az = 0.828, diff = 0.03399999999999992 brake = False
ax = -0.529, ay = 0.181, az = 0.833, diff = 0.02199999999999991 brake = False
ax = -0.531, ay = 0.178, az = 0.805, diff = 0.019999999999999907 brake = False
ax = -0.531, ay = 0.178, az = 0.805, diff = 0.019999999999999907 brake = False
ax = -0.538, ay = 0.17, az = 0.745, diff = 0.0129999999999999 brake = False
ax = -0.538, ay = 0.17, az = 0.745, diff = -0.012238095238095048 brake = False
ax = -0.548, ay = 0.156, az = 0.761, diff = -0.022238095238095057 brake = False
ax = -0.54, ay = 0.131, az = 0.786, diff = -0.01423809523809505 brake = False
ax = -0.54, ay = 0.131, az = 0.786, diff = -0.01423809523809505 brake = False
ax = -0.519, ay = 0.112, az = 0.8, diff = 0.006761904761904969 brake = False
ax = -0.519, ay = 0.112, az = 0.8, diff = 0.006761904761904969 brake = False
ax = -0.519, ay = 0.108, az = 0.83, diff = 0.006761904761904969 brake = False
ax = -0.536, ay = 0.107, az = 0.822, diff = -0.010238095238095046 brake = False
ax = -0.536, ay = 0.107, az = 0.822, diff = -0.010238095238095046 brake = False
ax = -0.552, ay = 0.103, az = 0.814, diff = -0.02623809523809506 brake = False
ax = -0.552, ay = 0.103, az = 0.814, diff = -0.02623809523809506 brake = False
ax = -0.556, ay = 0.11, az = 0.8, diff = -0.030238095238095064 brake = False
ax = -0.556, ay = 0.114, az = 0.786, diff = -0.030238095238095064 brake = False
ax = -0.556, ay = 0.114, az = 0.786, diff = -0.030238095238095064 brake = False
ax = -0.547, ay = 0.108, az = 0.766, diff = -0.021238095238095056 brake = False
ax = -0.547, ay = 0.108, az = 0.766, diff = -0.021238095238095056 brake = False
ax = -0.546, ay = 0.102, az = 0.761, diff = -0.020238095238095055 brake = False
ax = -0.556, ay = 0.101, az = 0.771, diff = -0.030238095238095064 brake = False
ax = -0.556, ay = 0.101, az = 0.771, diff = -0.030238095238095064 brake = False
ax = -0.565, ay = 0.103, az = 0.774, diff = -0.03923809523809496 brake = False
ax = -0.565, ay = 0.103, az = 0.774, diff = -0.03923809523809496 brake = False
ax = -0.547, ay = 0.089, az = 0.804, diff = -0.0013809523809523716 brake = False
ax = -0.536, ay = 0.073, az = 0.841, diff = 0.009619047619047638 brake = False
ax = -0.536, ay = 0.073, az = 0.841, diff = 0.009619047619047638 brake = False
ax = -0.53, ay = 0.083, az = 0.839, diff = 0.015619047619047643 brake = False
ax = -0.54, ay = 0.095, az = 0.848, diff = 0.005619047619047635 brake = False
ax = -0.54, ay = 0.095, az = 0.848, diff = 0.005619047619047635 brake = False
ax = -0.556, ay = 0.1, az = 0.84, diff = -0.01038095238095238 brake = False
ax = -0.556, ay = 0.1, az = 0.84, diff = -0.01038095238095238 brake = False
ax = -0.565, ay = 0.086, az = 0.825, diff = -0.019380952380952277 brake = False
ax = -0.565, ay = 0.086, az = 0.825, diff = -0.019380952380952277 brake = False
ax = -0.573, ay = 0.075, az = 0.8, diff = -0.027380952380952284 brake = False
ax = -0.564, ay = 0.078, az = 0.775, diff = -0.018380952380952276 brake = False
ax = -0.564, ay = 0.078, az = 0.775, diff = -0.018380952380952276 brake = False
ax = -0.566, ay = 0.066, az = 0.748, diff = -0.020380952380952277 brake = False
ax = -0.566, ay = 0.066, az = 0.748, diff = -0.020380952380952277 brake = False
ax = -0.568, ay = 0.045, az = 0.765, diff = -0.02238095238095228 brake = False
ax = -0.564, ay = 0.021, az = 0.806, diff = -0.018380952380952276 brake = False
ax = -0.564, ay = 0.021, az = 0.806, diff = -0.018380952380952276 brake = False
ax = -0.565, ay = 0.009, az = 0.815, diff = -0.019380952380952277 brake = False
ax = -0.565, ay = 0.009, az = 0.815, diff = -0.019380952380952277 brake = False
ax = -0.568, ay = 0.002, az = 0.852, diff = -0.02238095238095228 brake = False
ax = -0.568, ay = -0.014, az = 0.844, diff = -0.009952380952381046 brake = False
ax = -0.568, ay = -0.014, az = 0.844, diff = -0.009952380952381046 brake = False
ax = -0.558, ay = -0.013, az = 0.848, diff = 4.761904761885205e-05 brake = False
ax = -0.558, ay = -0.013, az = 0.848, diff = 4.761904761885205e-05 brake = False
ax = -0.557, ay = -0.012, az = 0.821, diff = 0.001047619047618853 brake = False
ax = -0.551, ay = -0.007, az = 0.799, diff = 0.007047619047618858 brake = False
ax = -0.551, ay = -0.007, az = 0.799, diff = 0.007047619047618858 brake = False
