ax = -0.492, ay = -0.048, az = 0.697, diff = 0.01828571428571424 brake = False
ax = -0.509, ay = -0.077, az = 0.751, diff = 0.0012857142857142234 brake = False
ax = -0.57, ay = -0.161, az = 0.701, diff = -0.05971428571428572 brake = False
ax = -0.57, ay = -0.161, az = 0.701, diff = -0.04961904761904756 brake = False
ax = -0.616, ay = -0.206, az = 0.788, diff = -0.0956190476190476 brake = False
ax = -0.616, ay = -0.206, az = 0.788, diff = -0.0956190476190476 brake = False
ax = -0.668, ay = -0.224, az = 0.828, diff = -0.14761904761904765 brake = False
ax = -0.644, ay = -0.184, az = 0.961, diff = -0.12361904761904763 brake = False
ax = -0.644, ay = -0.184, az = 0.961, diff = -0.12361904761904763 brake = False
ax = -0.594, ay = -0.119, az = 1.045, diff = -0.07361904761904758 brake = False
ax = -0.594, ay = -0.119, az = 1.045, diff = -0.07361904761904758 brake = False
ax = -0.546, ay = -0.023, az = 1.004, diff = -0.025619047619047652 brake = False
ax = -0.546, ay = -0.023, az = 1.004, diff = -0.025619047619047652 brake = False
ax = -0.52, ay = 0.013, az = 0.968, diff = 0.0003809523809523707 brake = False
ax = -0.498, ay = -0.018, az = 0.908, diff = 0.02238095238095239 brake = False
ax = -0.498, ay = -0.018, az = 0.908, diff = 0.02238095238095239 brake = False
ax = -0.476, ay = -0.03, az = 0.838, diff = 0.04438095238095241 brake = False
ax = -0.473, ay = -0.059, az = 0.786, diff = 0.04738095238095241 brake = False
ax = -0.473, ay = -0.059, az = 0.786, diff = 0.04738095238095241 brake = False
ax = -0.486, ay = -0.086, az = 0.743, diff = 0.0343809523809524 brake = False
ax = -0.531, ay = -0.109, az = 0.764, diff = -0.010619047619047639 brake = False
ax = -0.531, ay = -0.109, az = 0.764, diff = -0.010619047619047639 brake = False
ax = -0.573, ay = -0.106, az = 0.785, diff = -0.052619047619047565 brake = False
ax = -0.601, ay = -0.058, az = 0.79, diff = -0.08061904761904759 brake = False
ax = -0.601, ay = -0.058, az = 0.79, diff = -0.042476190476190334 brake = False
ax = -0.597, ay = -0.021, az = 0.84, diff = -0.03847619047619033 brake = False
ax = -0.591, ay = 0.009, az = 0.838, diff = -0.032476190476190325 brake = False
ax = -0.591, ay = 0.009, az = 0.838, diff = -0.032476190476190325 brake = False
ax = -0.596, ay = 0.023, az = 0.833, diff = -0.03747619047619033 brake = False
ax = -0.616, ay = 0.013, az = 0.83, diff = -0.05747619047619035 brake = False
ax = -0.616, ay = 0.013, az = 0.83, diff = -0.05747619047619035 brake = False
ax = -0.633, ay = 0.016, az = 0.815, diff = -0.07447619047619036 brake = False
ax = -0.633, ay = 0.016, az = 0.815, diff = -0.07447619047619036 brake = False
ax = -0.636, ay = 0.001, az = 0.789, diff = -0.07747619047619037 brake = False
ax = -0.616, ay = 0.007, az = 0.752, diff = -0.05747619047619035 brake = False
ax = -0.616, ay = 0.007, az = 0.752, diff = -0.05747619047619035 brake = False
ax = -0.603, ay = 0.024, az = 0.686, diff = -0.044476190476190336 brake = False
ax = -0.603, ay = 0.024, az = 0.686, diff = -0.044476190476190336 brake = False
ax = -0.607, ay = 0.059, az = 0.677, diff = -0.04847619047619034 brake = False
ax = -0.607, ay = 0.059, az = 0.677, diff = -0.04847619047619034 brake = False
ax = -0.595, ay = 0.144, az = 0.662, diff = -0.03647619047619033 brake = False
ax = -0.57, ay = 0.214, az = 0.625, diff = -0.011476190476190307 brake = False
ax = -0.57, ay = 0.214, az = 0.625, diff = -0.011476190476190307 brake = False
ax = -0.567, ay = 0.269, az = 0.646, diff = -0.008476190476190304 brake = False
ax = -0.567, ay = 0.269, az = 0.646, diff = -0.008476190476190304 brake = False
ax = -0.565, ay = 0.36, az = 0.661, diff = 0.03476190476190477 brake = False
ax = -0.53, ay = 0.441, az = 0.666, diff = 0.06976190476190469 brake = False
ax = -0.53, ay = 0.441, az = 0.666, diff = 0.06976190476190469 brake = False
ax = -0.515, ay = 0.482, az = 0.841, diff = 0.0847619047619047 brake = False
ax = -0.515, ay = 0.482, az = 0.841, diff = 0.0847619047619047 brake = False
ax = -0.483, ay = 0.463, az = 0.935, diff = 0.11676190476190473 brake = False
ax = -0.411, ay = 0.342, az = 0.968, diff = 0.18876190476190474 brake = False
ax = -0.411, ay = 0.342, az = 0.968, diff = 0.18876190476190474 brake = False
ax = -0.338, ay = 0.171, az = 1.009, diff = 0.2617619047619047 brake = False
ax = -0.338, ay = 0.171, az = 1.009, diff = 0.2617619047619047 brake = False
ax = -0.388, ay = 0.104, az = 0.993, diff = 0.2117619047619047 brake = False
ax = -0.348, ay = 0.066, az = 0.934, diff = 0.25176190476190474 brake = False
ax = -0.348, ay = 0.066, az = 0.934, diff = 0.25176190476190474 brake = False
ax = -0.351, ay = -0.019, az = 0.89, diff = 0.24876190476190474 brake = False
ax = -0.351, ay = -0.019, az = 0.89, diff = 0.24876190476190474 brake = False
ax = -0.382, ay = -0.159, az = 0.925, diff = 0.2177619047619047 brake = False
ax = -0.416, ay = -0.275, az = 0.896, diff = 0.18376190476190474 brake = False
ax = -0.416, ay = -0.275, az = 0.896, diff = 0.18376190476190474 brake = False
ax = -0.462, ay = -0.393, az = 0.856, diff = 0.1377619047619047 brake = False
ax = -0.462, ay = -0.393, az = 0.856, diff = 0.1377619047619047 brake = False
ax = -0.398, ay = -0.446, az = 0.862, diff = 0.2017619047619047 brake = False
ax = -0.427, ay = -0.347, az = 0.846, diff = -0.006999999999999951 brake = False
ax = -0.427, ay = -0.347, az = 0.846, diff = -0.006999999999999951 brake = False
ax = -0.479, ay = -0.267, az = 0.799, diff = -0.05899999999999994 brake = False
ax = -0.479, ay = -0.267, az = 0.799, diff = -0.05899999999999994 brake = False
ax = -0.5, ay = -0.254, az = 0.835, diff = -0.07999999999999996 brake = False
ax = -0.526, ay = -0.211, az = 0.837, diff = -0.10599999999999998 brake = False
ax = -0.526, ay = -0.211, az = 0.837, diff = -0.10599999999999998 brake = False
ax = -0.518, ay = -0.16, az = 0.823, diff = -0.09799999999999998 brake = False
ax = -0.518, ay = -0.16, az = 0.823, diff = -0.09799999999999998 brake = False
ax = -0.518, ay = -0.073, az = 0.805, diff = -0.09799999999999998 brake = False
ax = -0.509, ay = -0.006, az = 0.784, diff = -0.08899999999999997 brake = False
ax = -0.509, ay = -0.006, az = 0.784, diff = -0.08899999999999997 brake = False
ax = -0.53, ay = 0.043, az = 0.767, diff = -0.10999999999999999 brake = False
ax = -0.53, ay = 0.043, az = 0.767, diff = -0.10999999999999999 brake = False
