dx = -5.790588235294422, dy = 10.426666666666279,  s_cnt = 11, l_cnt = 49, r_cnt = 0, direction = straight
dx = -5.790588235294422, dy = 10.426666666666279,  s_cnt = 12, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 13, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 14, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 15, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 16, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 17, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 18, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 19, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 20, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 21, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 22, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 23, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 24, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 25, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 26, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 27, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 28, l_cnt = 49, r_cnt = 0, direction = straight
